"place_id","name","neighborhood","latitude","longitude","tags","short_description","emoji"
"place_1","Public Records","Brooklyn",40.68227,-73.9864,"{night_club,cafe,bar,restaurant}","vinyl dance club","💿"
"place_2","Silence Please",,40.71895,-73.9949,"{cafe}","vinyl cafe","💿"
"place_3","schmuck.",,40.72637,-73.98647,"{bar}","craft cocktails","🍸"
"place_4","The Django","Tribeca",40.71941,-74.00491,"{bar,night_club,restaurant}","underground jazz","🎷"
"place_5","Honeycomb Hi-Fi Lounge","Park Slope",40.68077,-73.97775,"{bar}","listening bar","🎵"
"place_6","Double Chicken Please","Lower East Side",40.71959,-73.99046,"{bar,restaurant}","asian cocktails & bites","🍸"
"place_7","12 Matcha",,40.72595,-73.99242,"{cafe}","matcha cafe","🍵"
"place_8","Happy Medium","Two Bridges",40.7119,-73.99455,"{cafe}","art cafe","🎨"
"place_9","Coming Soon","Chinatown",40.71499,-73.99171,"{shop}","design home goods","🏠"
"place_10","Bibliotheque","SoHo",40.72181,-74.00075,"{cafe,book_store,bar}","books & wine","📚"
"place_11","Tigre","Lower East Side",40.71995,-73.9882,"{night_club,bar}","hidden speakeasy","🍸"
"place_12","The Little Shop","Financial District",40.70837,-74.00096,"{bar,cafe}","bodega speakeasy","🥃"
"place_13","L'Industrie Pizzeria","Brooklyn",40.71161,-73.95787,"{restaurant}","pizza slices","🍕"
"place_14","The Nines","NoHo",40.72724,-73.99405,"{restaurant,bar}","piano lounge","🎹"
"place_15","Joyface","Alphabet City",40.72386,-73.97875,"{bar}","retro disco","🪩"
"place_16","Bar Bonobo","Chelsea District",40.74296,-73.99984,"{bar}","italian disco","💃"
"place_17","Paper Coffee","NoMad",40.74621,-73.98951,"{cafe}","hotel lobby cafe","☕"
"place_18","Le Dive","Chinatown",40.71476,-73.99094,"{night_club,bar}","french bistro","🍷"
"place_19","Frog","Brooklyn",40.68487,-73.93855,"{bar}","wine & pool","🍷"
